trade_time,nav,cash,position_val,num_positions
2026-03-03 14:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-03 14:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-03 14:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-03 14:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-03 15:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 09:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 09:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 10:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 10:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 10:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 10:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 11:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 11:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 11:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 13:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 13:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 13:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 13:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 14:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 14:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 14:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 14:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-04 15:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 09:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 09:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 10:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 10:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 10:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 10:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 11:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 11:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 11:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 13:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 13:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 13:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 13:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 14:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 14:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 14:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 14:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-05 15:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 09:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 09:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 10:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 10:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 10:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 10:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 11:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 11:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 11:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 13:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 13:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 13:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 13:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 14:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 14:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 14:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 14:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-06 15:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 09:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 09:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 10:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 10:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 10:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 10:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 11:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 11:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 11:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 13:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 13:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 13:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 13:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 14:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 14:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 14:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 14:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-09 15:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 09:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 09:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 10:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 10:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 10:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 10:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 11:00:00,9900.915918999883,9900.915918999883,0.0,0
