date,nav,num_pos
20251023,1000544.868801002,10
20251024,1015864.251221002,10
20251027,1020989.173271002,10
20251028,1018446.1527410022,8
20251029,1029455.5831010023,9
20251030,1023190.310051002,10
20251031,1024962.410371002,10
20251103,1029468.523471002,10
20251104,1019882.374831002,10
20251105,1024969.7876110021,10
20251106,1028761.275941002,10
20251107,1028986.748221002,10
20251110,1030925.1396210023,10
20251111,1028753.1844110021,10
20251112,1025247.2243980024,9
20251113,1030983.7875710023,8
20251114,1031258.0002510024,7
20251117,1049325.6436810023,9
20251118,1044956.1372110024,10
20251119,1043113.0590058025,10
20251120,1042264.2372558024,10
20251121,1038914.7472558024,10
20251124,1042062.2017658027,10
20251125,1043319.8142858027,10
20251126,1037400.2892458029,10
20251127,1036616.2353438027,10
20251128,1041998.4970738029,10
20251201,1037321.1736492027,8
20251202,1033629.3756392028,7
20251203,1032604.4105392027,6
20251204,1029473.9807792025,6
20251205,1040583.3583192027,8
20251208,1042102.6941892027,10
20251209,1038687.5133592025,10
20251210,1039306.8404257027,10
20251211,1036053.7583544563,10
20251212,1037912.611745921,10
20251215,1035380.5977924028,8
20251216,1028997.9720124027,10
20251217,1030983.5865702028,10
20251218,1032489.7724102029,10
20251219,1034599.9848502029,10
20251222,1036596.935110203,10
20251223,1033951.0800302031,10
20251224,1037259.607297953,10
20251225,1044323.3978780552,10
20251226,1047092.0652252077,10
20251229,1045204.7001752032,10
20251230,1042037.966815203,8
20251231,1043410.1125452031,7
20260105,1050330.8558652028,10
20260106,1059580.728275203,10
20260107,1057878.087735203,8
20260108,1056861.888475203,7
20260109,1059881.331035203,8
20260112,1063688.7049252032,8
20260113,1060645.476455203,8
20260114,1065000.4958434529,8
20260115,1067634.5373723146,9
20260116,1070041.3982242676,9
20260119,1073369.933290203,8
20260120,1073455.464030203,5
20260121,1075625.3178602029,6
20260122,1077937.9047002029,4
20260123,1081199.912900203,4
20260126,1079501.771910203,4
20260127,1078802.789450203,4
20260128,1081888.196320203,4
20260129,1080762.622060203,6
20260130,1070994.722320203,6
20260202,1061659.503520203,6
20260203,1067413.035260203,8
20260204,1067344.9072602028,7
20260205,1062034.977780203,6
20260206,1065449.9829002032,8
20260209,1073161.482900203,7
20260210,1071976.2814602032,6
20260211,1072193.3745913133,6
20260212,1069887.5040824031,5
20260213,1066144.6316124033,5
20260224,1065710.9816124034,5
20260225,1065867.9959524032,5
20260226,1060489.8159524035,5
20260227,1062090.0951524035,6
20260302,1057930.7233224036,7
20260303,1049258.6733224036,7
20260304,1043134.1754424035,10
20260305,1043930.4354424035,10
20260306,1044794.0883224036,10
20260309,1047752.6841684037,10
20260310,1053405.2642698376,10
20260311,1049485.4180918038,7
20260312,1051267.1580918038,7
20260313,1049941.3003718036,8
20260316,1045686.6318418034,8
20260317,1039735.3871218035,9
20260318,1046093.0266618035,10
20260319,1035353.1566618036,10
20260320,1028204.9450018036,10
20260323,1017427.5017218034,10
20260324,1019068.2278618036,10
20260325,1018322.9494118036,10
20260326,1013700.7129118035,10
20260327,1011815.2634827034,10
20260330,1004196.7408562036,9
20260331,1000435.5638700535,8
20260401,1001333.0218932036,7
20260402,1000642.4618932036,7
20260403,997402.5001132037,7
20260407,1004449.6931132036,8
20260408,1014416.6776832037,8
20260409,1007699.6318428037,7
20260410,1009144.0134828037,6
20260413,1008662.5528628037,5
20260414,1010331.0557328037,4
20260415,1010675.4791428037,5
20260416,1011248.8203828037,7
20260417,1012404.5420328036,7
20260420,1008955.1328998037,6
20260421,1008311.8085783037,5
20260422,1011965.6100172352,6
20260423,1010438.0277798037,3
20260424,1010384.2277798037,3
20260427,1007538.5277798037,3
20260428,1007681.2150198037,2
20260429,1007786.8936198037,0
20260430,1007786.8936198037,0
20260506,1007786.8936198037,0
20260507,1007786.8936198037,0
20260508,1007786.8936198037,0
20260511,1007786.8936198037,0
20260512,1007786.8936198037,0
20260513,1007786.8936198037,0
20260514,1007786.8936198037,0
20260515,1007786.8936198037,0
20260518,1007786.8936198037,0
20260519,1007786.8936198037,0
20260520,1007786.8936198037,0
20260521,1007786.8936198037,0
20260522,1007786.8936198037,0
20260525,1007786.8936198037,0
20260526,1007786.8936198037,0
20260527,1007786.8936198037,0
20260528,1007786.8936198037,0
20260529,1007786.8936198037,0
20260601,1012286.4179498036,10
20260602,1009519.3576298037,10
20260603,1004100.5284601238,10
20260604,996096.1103396134,10
20260605,995280.8430872236,10
20260608,988841.5681978038,10
20260609,992586.0781978038,10
20260610,986846.3081978038,10
20260611,985925.3881978039,10
20260612,983750.7164478039,10
20260615,990430.7564928038,9
20260616,987337.4764928039,9
20260617,986042.0364928038,9
20260618,983412.2464928038,9
20260622,978049.5611628038,9
20260623,980210.8067528037,0
20260624,980210.8067528037,0
20260625,980210.8067528037,0
20260626,980210.8067528037,0
20260629,980210.8067528037,0
20260630,980210.8067528037,0
20260701,980210.8067528037,0
20260702,980210.8067528037,0
20260703,980210.8067528037,0
20260706,980210.8067528037,0
20260707,980210.8067528037,0
20260708,980210.8067528037,0
20260709,980210.8067528037,0
20260710,980210.8067528037,0
20260713,980210.8067528037,0
20260714,980210.8067528037,0
20260715,980210.8067528037,0
20260716,980210.8067528037,0
20260717,980210.8067528037,0
20260720,980210.8067528037,0
20260721,980210.8067528037,0
20260722,980210.8067528037,0
20260723,980210.8067528037,0
20260724,980210.8067528037,0
