trade_date,Monthly_DoubleLow_Top10,Monthly_DoubleLow_Top5,511380_CB_ETF_Benchmark
2024-04-12,0.98867344965214,0.99930423251759,1.0048446069469836
2024-04-15,0.98732215965214,0.99930423251759,1.0035648994515538
2024-04-16,0.98461139535214,0.9962280884275899,0.9945155393053018
2024-04-17,0.9914603353521401,1.00325166842759,1.0047531992687386
2024-04-18,0.99443279535214,1.0062983384275899,1.0051188299817186
2024-04-19,0.9956039253521402,1.00748514842759,1.0037477148080438
2024-04-22,0.98647021773784,0.9982458194188,1.0010054844606948
2024-04-23,0.9867538677378399,0.9985691194187999,1.0019195612431444
2024-04-24,0.98740672773784,0.9993132394188,1.0050274223034734
2024-04-25,0.98928067773784,1.0014491394187999,1.0054844606946984
2024-04-26,0.98910769773784,1.0012519794188,1.0116087751371117
2024-04-29,0.98930392773784,1.0014756394187998,1.0149908592321755
2024-04-30,0.9891718677378399,1.0013251194188,1.0176416819012797
2024-05-06,0.98973730773784,1.0019695994188,1.0264168190127971
2024-05-07,0.99069799773784,1.0030645794188,1.0290676416819013
2024-05-08,0.9913675977378399,1.0038277794188,1.0245886654478977
2024-05-09,0.9921292677378399,1.0046959194187999,1.0324497257769654
2024-05-10,0.99196279773784,1.0045061794188,1.0347349177330896
2024-05-13,0.99170518773784,1.0042125594187998,1.0326325411334554
2024-05-14,0.99202417773784,1.0045761394188,1.033363802559415
2024-05-15,0.99212182773784,1.0046874394188,1.0322669104204754
2024-05-16,0.9927625977378399,1.0054177794188,1.0323583180987204
2024-05-17,0.9934396377378399,1.0061894594188,1.0344606946983548
2024-05-20,0.99377164773784,1.0065678794188,1.0385740402193784
2024-05-21,0.9909769977378401,1.0033825794188,1.036745886654479
2024-05-22,0.97457179773784,0.9846841794187999,1.0381170018281536
2024-05-23,0.96396886773784,0.9725991194187998,1.0320840950639854
2024-05-24,0.96818269773784,0.9774019794188,1.0318098720292506
2024-05-27,0.96734662773784,0.9764490394187999,1.0325411334552101
2024-05-28,0.9683314977378399,0.9775715794187999,1.03345521023766
2024-05-29,0.95978479773784,0.9678301794187999,1.0327239488117002
2024-05-30,0.96229579773784,0.9706921794187999,1.0323583180987204
2024-05-31,0.96396793773784,0.9725980594188,1.0322669104204754
2024-06-03,0.96192286773784,0.9702671194187998,1.023857404021938
2024-06-04,0.95569279773784,0.9631661794187999,1.0261425959780623
2024-06-05,0.96434179773784,0.9730241794187999,1.023491773308958
2024-06-06,0.95708593773784,0.9647540594188,1.0210237659963437
2024-06-07,0.96097519773784,0.9691869794187999,1.020932358318099
2024-06-11,0.96055204773784,0.9687046794187999,1.0219378427787935
2024-06-12,0.9637977477378399,0.9724040794187999,1.0247714808043877
2024-06-13,0.96448129773784,0.9731831794188,1.0222120658135283
2024-06-14,0.96439945773784,0.9730898994187999,1.0231261425959781
2024-06-17,0.9635977977378399,0.9721761794188,1.019744058500914
2024-06-18,0.96861979773784,0.9779001794187999,1.020932358318099
2024-06-19,0.96759028773784,0.9767267594187999,1.0169104204753199
2024-06-20,0.96536107773784,0.9741859394187999,1.0079524680073126
2024-06-21,0.95939512773784,0.9673860394188,1.0038391224862888
2024-06-24,0.9474762477378399,0.9538010794188,0.9868372943327239
2024-06-25,0.95701153773784,0.9646692594187999,0.9929616087751371
2024-06-26,0.96845425773784,0.9777114994188,1.0055758683729432
2024-06-27,0.97140979773784,0.9810801794187999,1.0014625228519196
2024-06-28,0.97038865773784,0.9799162994187999,1.003382084095064
2024-07-01,0.9759072777378399,0.9862063394188,1.009963436928702
2024-07-02,0.98382332170784,0.9861893058888,1.0083180987202927
2024-07-03,1.0000960771441398,0.9846877583991,1.0053930530164534
2024-07-04,0.9889134771441399,0.9802286883991,0.9972577696526509
2024-07-05,0.97959892714414,0.9817538283991001,0.9998171846435101
2024-07-08,0.9768724271441399,0.9783428083991,0.9913162705667277
2024-07-09,0.9722368971441399,0.9814159683991001,0.9973491773308958
2024-07-10,0.96998714714414,0.9789680683991001,0.9958866544789763
2024-07-11,0.9914020671441399,0.9802361883991001,1.0007312614259598
2024-07-12,0.9862936671441399,0.9790675783991001,0.9987202925045704
2024-07-15,1.0076415371441398,0.9782847283991,0.993510054844607
2024-07-16,1.02311282992773,0.9777302283991001,0.9927787934186473
2024-07-17,1.0352358125917298,0.9739751800051001,0.9863802559414991
