stk_code,stk_name,pub_date,title,pdf_url,effective_date,prev_conv_price,new_conv_price
002475,立讯精密,20250707,关于“立讯转债“转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-07-08/1224091514.PDF,20250714,56.45,56.25
002475,立讯精密,20251009,关于“立讯转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-10-10/1224703690.PDF,20251010,56.25,56.14
002475,立讯精密,20260105,关于“立讯转债“转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-01-06/1224920483.PDF,20260106,56.14,56.13
002475,立讯精密,20260205,关于“立讯转债“转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-02-06/1224969418.PDF,20260212,56.13,55.97
002475,立讯精密,20260701,关于“立讯转债“转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-07-02/1225403964.PDF,20260702,55.97,55.86
002475,立讯精密,20260709,关于“立讯转债“转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-07-10/1225417912.PDF,20260709,55.86,55.81
002475,立讯精密,20260710,关于“立讯转债“转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-07-11/1225419585.PDF,20260720,55.81,55.67
002534,西子洁能,20250521,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-22/1223628730.PDF,20250522,,11.2
002541,鸿路钢构,20250613,关于鸿路转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-14/1223879141.PDF,20250614,,32.44
002541,鸿路钢构,20260203,关于董事会提议向下修正鸿路转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-02-04/1224964067.PDF,20260204,,32.08
002541,鸿路钢构,20260225,关于向下修正鸿路转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-02-26/1224984628.PDF,20260226,,32.08
002541,鸿路钢构,20260611,关于董事会提议向下修正鸿路转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-06-12/1225364503.PDF,20260612,,21.99
002541,鸿路钢构,20260629,关于向下修正鸿路转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-06-30/1225397161.PDF,20260630,,21.99
002541,鸿路钢构,20260701,关于鸿路转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-07-02/1225404150.PDF,20260702,,17.77
002557,洽洽食品,20250612,洽洽食品股份有限公司关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-13/1223859509.PDF,20250613,56.91,56.91
002557,洽洽食品,20260604,洽洽食品股份有限公司关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-06-05/1225352537.PDF,20260605,55.93,55.93
002568,百润股份,20250909,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-09-10/1224648576.PDF,20250910,46.66,46.68
002568,百润股份,20260212,关于董事会提议向下修正百润转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-02-13/1224978759.PDF,20260213,,46.68
002568,百润股份,20260303,关于向下修正百润转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-03-04/1224994816.PDF,20260304,,46.68
002568,百润股份,20260318,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-03-19/1225016443.PDF,20260319,20.68,20.63
002598,山东章鼓,20250718,关于“章鼓转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-07-19/1224216034.PDF,20250719,10.25,10.15
